지역,인구수,혼잡도,점수
홍대,48,매우 한산,10
합정,30,매우 한산,10
상수,26,매우 한산,10
연남,26,매우 한산,10
강남,57,매우 한산,10
역삼,35,매우 한산,10
삼성,38,매우 한산,10
신촌,45,매우 한산,10
연희,41,매우 한산,10
이대,38,매우 한산,10
신사,38,매우 한산,10
논현,35,매우 한산,10
청담,34,매우 한산,10
압구정,35,매우 한산,10
망원,25,매우 한산,10
상암,34,매우 한산,10
서초,28,매우 한산,10
교대,29,매우 한산,10
방배,24,매우 한산,10
명동,34,매우 한산,10
을지로,47,매우 한산,10
동대문,25,매우 한산,10
성수,38,매우 한산,10
왕십리,37,매우 한산,10
서울숲,30,매우 한산,10
영등포,16,매우 한산,10
여의도,29,매우 한산,10
문래,15,매우 한산,10
종로,25,매우 한산,10
광화문,36,매우 한산,10
대학로,19,매우 한산,10
송파,19,매우 한산,10
잠실,40,매우 한산,10
방이,18,매우 한산,10
용산,20,매우 한산,10
이태원,33,매우 한산,10
한남,20,매우 한산,10
관악,20,매우 한산,10
신림,19,매우 한산,10
서울대입구,16,매우 한산,10
건대,28,매우 한산,10
성신여대,27,매우 한산,10
안암,13,매우 한산,10
마포,18,매우 한산,10
고척,19,매우 한산,10
불광,23,매우 한산,10
연신내,20,매우 한산,10
은평,14,매우 한산,10
강북,13,매우 한산,10
쌍문,15,매우 한산,10
목동,15,매우 한산,10
